Model,Seed,J@20,Log-RMSE,AUPRC,WAPE,Rank-Correlation,Centrality-Delta,Training Time (s)
Baseline (OLS Gravity),42,0.05263157894736842,13223392.0,0.6083286265790111,1.5503253936767578,0.15200282978079774,0.005089130483044304,144.94
Primary (Dynamic + GRU + 4 Sectors),42,0.043634727845254156,4.275475978851318,0.5208233811639374,1.6917616128921509,-0.11632613309304703,0.0047807510367849524,522.19
Ablation A (No GRU),42,0.043634727845254156,4.258014678955078,0.532691743764398,2.1147730350494385,0.11610222747292447,0.0046958319006459226,508.97
Ablation B (Static Attention),42,0.043634727845254156,4.31378173828125,0.5208233811639374,1.7275665998458862,-0.11631566936007585,0.004775593780616281,544.44
Ablation C (Homogeneous Graph),42,0.043634727845254156,4.275270462036133,0.5208276049988165,1.7098512649536133,-0.11606775069015984,0.004783665970293982,597.83
Baseline (OLS Gravity),101,0.05263157894736842,13329335.0,0.46979638370005333,1.153822898864746,-0.23214463245997594,0.004233170872647138,137.83
Primary (Dynamic + GRU + 4 Sectors),101,0.05263157894736842,4.25706148147583,0.5259320776020865,1.8353610038757324,0.012088091341889312,0.004761202409788196,524.02
Ablation A (No GRU),101,0.05263157894736842,4.260967254638672,0.5248214994799522,1.7618999481201172,-0.012146079717354603,0.004780626434079095,508.17
Ablation B (Static Attention),101,0.043634727845254156,4.27531099319458,0.5208262498020376,1.6916459798812866,-0.11610222747292447,0.0047835903474859305,546.37
Ablation C (Homogeneous Graph),101,0.05311789522315838,4.030147075653076,0.6468183203400548,1.79718017578125,0.35631138191417416,0.0045013597108545965,602.62
Baseline (OLS Gravity),202,0.05263157894736842,14325876.0,0.650428305606297,1.8252884149551392,0.31379097419993346,0.00464824596756261,141.82
Primary (Dynamic + GRU + 4 Sectors),202,0.043634727845254156,4.267635822296143,0.5208262498020376,1.7267718315124512,-0.11610222747292447,0.004778846692987548,523.31
Ablation A (No GRU),202,0.043634727845254156,4.376640796661377,0.5334987992874801,2.052471160888672,0.11631566936007585,0.004742814585409066,513.43
Ablation B (Static Attention),202,0.05263157894736842,4.258317470550537,0.5259320776020865,1.835506796836853,0.012024250468922719,0.0047612367557461005,547.78
Ablation C (Homogeneous Graph),202,0.043634727845254156,4.256814479827881,0.5213099955163217,1.8273652791976929,-0.052430443397811305,0.0047647229038550905,605.28
Baseline (OLS Gravity),303,0.05263157894736842,4069001.75,0.5991932258754743,1.6284979581832886,0.1595081377044241,0.0044739819676605725,141.09
Primary (Dynamic + GRU + 4 Sectors),303,0.043634727845254156,4.263742923736572,0.5208276049988165,1.7580193281173706,-0.11606775069015984,0.0047749229638002835,531.71
Ablation A (No GRU),303,0.043634727845254156,4.30038595199585,0.532691743764398,2.37056040763855,0.11606775069015984,0.004553063588475281,514.84
Ablation B (Static Attention),303,0.043634727845254156,4.321009159088135,0.5208262498020376,1.719496726989746,-0.11610222747292447,0.0047799791792257455,548.13
Ablation C (Homogeneous Graph),303,0.043634727845254156,4.261927127838135,0.5208262498020376,1.7568359375,-0.11611271373834348,0.004773264017327983,608.74
Baseline (OLS Gravity),404,0.05263157894736842,295250.46875,0.4695148411844044,1.1446592807769775,-0.23269731220477094,0.004183169279703816,138.97
Primary (Dynamic + GRU + 4 Sectors),404,0.02609086819613135,4.085918426513672,0.6447654923830761,1.8508199453353882,0.3048782134214744,0.00452171707209765,529.29
Ablation A (No GRU),404,0.02609086819613135,4.418665409088135,0.46974068056119833,1.6595115661621094,-0.30828821105588206,0.004977275831352434,517.27
Ablation B (Static Attention),404,0.043634727845254156,4.249212265014648,0.5334987992874801,1.9220203161239624,0.11631566936007585,0.004752641281729059,552.52
Ablation C (Homogeneous Graph),404,0.08319308319308319,4.09343147277832,0.6473041355135055,1.8251978158950806,0.34665621921678474,0.004508492894398462,607.13
Baseline (OLS Gravity),505,0.05263157894736842,10378096.0,0.5947164551709424,1.5970722436904907,0.14065135068729565,0.004432217447692959,141.93
